level,bit_class,n_not_benign,frac_D1,frac_D2,frac_D3,frac_any,frac_cg_iters
G,mant_lo,10,0.00,0.00,0.00,0.00,0.00
G,mant_hi,36,0.00,0.00,0.00,0.00,0.00
G,exp,36,0.17,0.17,0.03,0.19,0.19
G,sign,36,0.00,0.00,0.00,0.00,0.00
R,mant_lo,12,0.00,0.00,0.00,0.00,0.00
R,mant_hi,31,0.35,0.19,0.00,0.35,0.00
R,exp,36,0.94,0.81,0.06,0.94,0.00
R,sign,36,0.94,0.83,0.00,0.94,0.00
H,mant_lo,30,0.80,0.00,0.00,0.80,0.03
H,mant_hi,36,1.00,0.67,0.67,1.00,0.72
H,exp,36,1.00,0.94,0.94,1.00,1.00
H,sign,36,1.00,1.00,1.00,1.00,1.00
