level,bit_class,n,p_benign,p_transient,p_persistent,p_detected,p_not_benign,ci_lo,ci_hi,E_max_median,E_max_p90
G,mant_lo,36,0.722,0.056,0.222,0.000,0.278,0.158,0.440,2.338e-14,3.379e-12
G,mant_hi,36,0.000,0.056,0.944,0.000,1.000,0.904,1.000,4.595e-10,8.488e-06
G,exp,36,0.000,0.000,0.833,0.167,1.000,0.904,1.000,1.030e-05,5.578e-04
G,sign,36,0.000,0.000,1.000,0.000,1.000,0.904,1.000,1.881e-05,2.461e-04
R,mant_lo,36,0.667,0.056,0.278,0.000,0.333,0.202,0.497,2.686e-14,3.879e-12
R,mant_hi,36,0.139,0.139,0.722,0.000,0.861,0.713,0.939,2.789e-11,3.529e-07
R,exp,36,0.000,0.028,0.972,0.000,1.000,0.904,1.000,1.235e-05,2.725e-04
R,sign,36,0.000,0.056,0.944,0.000,1.000,0.904,1.000,1.929e-05,3.141e-04
H,mant_lo,36,0.167,0.028,0.806,0.000,0.833,0.681,0.921,2.178e-11,3.808e-10
H,mant_hi,36,0.000,0.000,1.000,0.000,1.000,0.904,1.000,3.875e+02,1.096e+12
H,exp,36,0.000,0.000,1.000,0.000,1.000,0.904,1.000,7.496e+05,2.179e+14
H,sign,36,0.000,0.000,1.000,0.000,1.000,0.904,1.000,9.938e+03,1.708e+12
