E_fault_final,E_fault_int,E_fault_max,E_floor_final,E_floor_max,N,bit_class,class,d1_first,d1_max_A,d1_max_F,d2_first,d2_max_A,d2_max_F,d3_first,d4_first_F,detect,detected_by,dt,fi_bit,fi_level,fi_rank,fi_step,fi_target,field,hyb_block_err_max_A,hyb_block_err_max_F,hybrid,iters_delta_max,kernel,kmax,kmin,mean_cg_iters_A,n_steps,nprocs,reproject_bc,rhocmax,rhocmin,run_id,scatter,seed,sigma,solve_ms_A,solve_ms_B,solve_ms_F,spread_at_max,spread_final,status,step_at_max,tag,target_on_boundary,thr
2.191223e-16,5.717014e-17,1.775858e-14,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.933e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,27,1,0,4,17162,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b27_S4_t0,colored,1,0.5,1084.676,1088.289,1078.754,0.0289,0.5667,ok,5,e,0,1.000e-13
1.579570e-16,3.276216e-18,3.497131e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.390e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,27,1,0,4,31443,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b27_S4_t1,colored,1,0.5,1160.439,1209.777,1162.669,0.0295,0.4396,ok,5,e,0,1.000e-13
2.051466e-14,2.975847e-15,1.011083e-12,0.000000e+00,0.000000e+00,32,mant_lo,transient,-1,1.276e-16,1.232e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,27,1,0,20,17162,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b27_S20_t0,colored,1,0.5,1153.568,1097.767,1141.186,0.0078,0.3745,ok,20,e,0,1.000e-13
1.884893e-15,2.307759e-16,7.398870e-14,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.232e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,27,1,0,20,31443,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b27_S20_t1,colored,1,0.5,1258.248,1201.354,1164.666,0.0084,0.4021,ok,20,e,0,1.000e-13
2.698621e-13,0.000000e+00,2.698621e-13,0.000000e+00,0.000000e+00,32,mant_lo,persistent,-1,1.276e-16,1.276e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,27,1,0,36,17162,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b27_S36_t0,colored,1,0.5,1109.411,1128.848,1192.558,0.0557,0.0557,ok,39,e,0,1.000e-13
9.990353e-14,0.000000e+00,9.990353e-14,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.276e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,27,1,0,36,31443,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b27_S36_t1,colored,1,0.5,1180.766,1112.994,1147.064,0.0386,0.0386,ok,39,e,0,1.000e-13
1.575790e-16,2.447574e-18,1.703200e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.766e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,13,1,0,4,17162,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b13_S4_t0,colored,1,0.5,1156.698,1215.750,1192.200,0.2317,0.4309,ok,10,e,0,1.000e-13
1.567334e-16,2.196494e-18,1.688169e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.232e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,13,1,0,4,31443,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b13_S4_t1,colored,1,0.5,1112.258,1146.979,1120.789,0.3017,0.4280,ok,15,e,0,1.000e-13
1.571465e-16,1.265677e-18,1.581328e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.254e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,13,1,0,20,17162,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b13_S20_t0,colored,1,0.5,1085.928,1084.885,1071.367,0.4362,0.4252,ok,30,e,0,1.000e-13
1.608385e-16,1.061912e-18,1.630011e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.232e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,13,1,0,20,31443,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b13_S20_t1,colored,1,0.5,1099.489,1091.890,1182.302,0.4359,0.4279,ok,30,e,0,1.000e-13
