level,bit_class,n_not_benign,frac_D1,frac_D2,frac_D3,frac_any,frac_cg_iters
G,mant_lo,30,0.00,0.00,0.00,0.00,0.00
G,mant_hi,102,0.00,0.00,0.00,0.00,0.00
G,exp,108,0.08,0.08,0.04,0.12,0.10
G,sign,108,0.00,0.00,0.04,0.04,0.02
R,mant_lo,26,0.00,0.00,0.00,0.00,0.00
R,mant_hi,103,0.17,0.07,0.00,0.17,0.00
R,exp,108,0.96,0.93,0.20,0.96,0.10
R,sign,108,0.98,0.91,0.02,0.98,0.00
H,mant_lo,48,0.65,0.00,0.00,0.65,0.00
H,mant_hi,108,1.00,0.54,0.54,1.00,0.62
H,exp,108,1.00,1.00,1.00,1.00,1.00
H,sign,108,1.00,1.00,1.00,1.00,1.00
