level,bit_class,n,p_benign,p_transient,p_persistent,p_detected,p_not_benign,ci_lo,ci_hi,E_max_median,E_max_p90
G,mant_lo,108,0.722,0.074,0.204,0.000,0.278,0.202,0.369,2.453e-16,1.993e-12
G,mant_hi,108,0.056,0.074,0.870,0.000,0.944,0.884,0.974,1.320e-09,3.233e-05
G,exp,108,0.000,0.000,0.917,0.083,1.000,0.966,1.000,1.587e-05,1.506e-03
G,sign,108,0.000,0.000,1.000,0.000,1.000,0.966,1.000,2.682e-05,8.619e-04
R,mant_lo,108,0.759,0.028,0.213,0.000,0.241,0.170,0.329,2.421e-15,2.029e-12
R,mant_hi,108,0.046,0.074,0.880,0.000,0.954,0.896,0.980,1.426e-10,9.115e-09
R,exp,108,0.000,0.000,1.000,0.000,1.000,0.966,1.000,1.467e-05,1.169e-03
R,sign,108,0.000,0.019,0.981,0.000,1.000,0.966,1.000,1.166e-05,1.397e-04
H,mant_lo,108,0.556,0.019,0.426,0.000,0.444,0.354,0.538,4.382e-14,1.062e-11
H,mant_hi,108,0.000,0.000,1.000,0.000,1.000,0.966,1.000,9.033e-01,5.875e+09
H,exp,108,0.000,0.000,1.000,0.000,1.000,0.966,1.000,1.158e+06,1.597e+14
H,sign,108,0.000,0.000,1.000,0.000,1.000,0.966,1.000,5.945e+05,1.299e+14
