E_fault_final,E_fault_int,E_fault_max,E_floor_final,E_floor_max,N,bit_class,class,d1_first,d1_max_A,d1_max_F,d2_first,d2_max_A,d2_max_F,d3_first,d4_first_F,detect,detected_by,dt,fi_bit,fi_level,fi_rank,fi_step,fi_target,field,hyb_block_err_max_A,hyb_block_err_max_F,hybrid,iters_delta_max,kernel,kmax,kmin,mean_cg_iters_A,n_steps,nprocs,reproject_bc,rhocmax,rhocmin,run_id,scatter,seed,sigma,solve_ms_A,solve_ms_B,solve_ms_F,spread_at_max,spread_final,status,step_at_max,tag,target_on_boundary,thr
1.598293e-16,2.367080e-18,1.693756e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.255e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,5,1,0,4,17162,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b5_S4_t0,colored,1,0.5,1177.810,1116.691,1149.181,0.3032,0.4708,ok,15,e,0,1.000e-13
1.603761e-16,2.068599e-18,1.666673e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.232e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,5,1,0,4,31443,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b5_S4_t1,colored,1,0.5,1129.448,1095.843,1074.261,0.2992,0.4308,ok,15,e,0,1.000e-13
1.578008e-16,2.373240e-18,1.696855e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.369e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,5,1,0,4,12949,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b5_S4_t2,colored,1,0.5,1226.864,1127.988,1156.413,0.3565,0.4275,ok,20,e,0,1.000e-13
1.587684e-16,1.116924e-18,1.619497e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.232e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,5,1,0,20,17162,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b5_S20_t0,colored,1,0.5,1126.743,1186.301,1235.691,0.4260,0.4299,ok,30,e,0,1.000e-13
1.545299e-16,8.083652e-19,1.593509e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.102e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,5,1,0,20,31443,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b5_S20_t1,colored,1,0.5,1211.837,1199.320,1131.589,0.4055,0.4256,ok,35,e,0,1.000e-13
1.568834e-16,1.094343e-18,1.571581e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.210e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,5,1,0,20,12949,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b5_S20_t2,colored,1,0.5,1152.066,1177.485,1233.869,0.4290,0.4278,ok,30,e,0,1.000e-13
4.417911e-17,0.000000e+00,4.417911e-17,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.276e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,5,1,0,36,17162,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b5_S36_t0,colored,1,0.5,1157.075,1123.535,1124.947,0.1765,0.1765,ok,39,e,0,1.000e-13
6.554906e-18,0.000000e+00,6.554906e-18,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.276e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,5,1,0,36,31443,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b5_S36_t1,colored,1,0.5,1170.150,1223.568,1254.225,0.0401,0.0401,ok,39,e,0,1.000e-13
1.137501e-16,0.000000e+00,1.137501e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.276e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,5,1,0,36,12949,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b5_S36_t2,colored,1,0.5,1205.309,1184.829,1198.055,0.3255,0.3255,ok,39,e,0,1.000e-13
1.575260e-16,2.390013e-18,1.704732e-16,0.000000e+00,0.000000e+00,32,mant_lo,benign,-1,1.276e-16,1.124e-16,-1,9.805e-09,9.805e-09,-1,-1,1,none,5.000e-04,11,1,0,4,17162,ln32_s0.5_seed1,0.000e+00,0.000e+00,0,0,fast,5.27301,0.129925,16.48,40,1,0,1,1,ln32_s0.5_seed1_L1_mant_lo_b11_S4_t0,colored,1,0.5,1169.103,1182.396,1177.263,0.3088,0.4273,ok,15,e,0,1.000e-13
